項目,名前,ひらがな
オス,ARBO,アルボ
オス,ARC,ア－ク
オス,ARCH,ア－チ
オス,ARCHBISHOP,ア－チビショップ
オス,ARCHER,ア－チャ－
オス,ARCHERY,ア－チェリ－
オス,ARCHIMEDES,アルキメデス
オス,ARCHON,ア－カン
オス,ARES,アレス
オス,ARGO,アルゴ
オス,ARGUS,ア－ガス
オス,ARIEL,エ－リエル
オス,ARIES,アリエス
オス,ARISTOCRAT,アリストクラット
オス,ARISTOTELES,アリストテレス
オス,ARM,ア－ム
オス,ARMOUR,ア－マ－
オス,ARMSTRONG,ア－ムストロング
オス,ARNO,アルノ
オス,ARNOLD,ア－ノルト
オス,ARRANGE,アレンジ
オス,ARRESTOR,アレスタ－
オス,ARRIANOS,アリアノス
オス,ARROW,アロ－
オス,ART,ア－ト
オス,ARTHUR,ア－サ－
オス,ARTIFICER,ア－チフィサ－
オス,ARTILLERIST,ア－ティラリスト
オス,ARTIN,アルティン
オス,ARTIST,ア－ティスト
オス,ARTUS,アルタス
オス,ASCETIC,アセティク
オス,ASCLEPIUS,アスクリ－ピアス
オス,ASCOT,アスコット
オス,ASGARD,アスガ－ド
オス,ASHRAF,アシュラフ
オス,ASPECT,アスペクト
オス,ASSISTANT,アシスタント
オス,ASSURER,アシュラ－
オス,ASTON,アストン
オス,ASWAN,アスワン
オス,ATALUS,アタラス
オス,ATLANTES,アトランティ－ズ
オス,ATLANTIC,アトランティック
オス,ATLAS,アトラス
オス,ATOM,アトム
オス,ATOMY,アトミ－
オス,ATTACHE,アタッシュ
オス,ATTILA,アティラ
オス,ATTO,アット
オス,AUDIFAX,アウディフアックス
オス,AUGEAS,オ－ジャス
オス,AUGUSTINE,オ－ガスチン
オス,AUGUSTUS,オ－ガスタス
オス,AULOS,アウロス
オス,AURELIUS,オ－レリアス
オス,AUSTER,オ－スタ－
オス,AUSTIN,オ－スチン
オス,AUTHOR,オ－サ－
オス,AUTHORITY,オ－ソリティ
オス,AUTOCRAT,オ－トクラット
オス,AVANTGARDE,アバンギャルド
オス,AVATOR,アウ゛ァタ－
オス,AVENGER,アベンジャ－
オス,AVON,エ－ボン
オス,AWFI,アウフィ－
オス,AXSTONE,アクススト－ン
オス,AZZILO,アジロ
メス,ABBES,アビス
メス,ABBY,アビ－
メス,ABIGAIL,アビゲイル
メス,ACACIA,アカシア
メス,ACCESSARY,アクセサリ－
メス,ACTAEON,アクティ－アン
メス,ACTRESS,アクトレス
メス,ADELA,アデラ
メス,ADELGUND,アデルグンド
メス,ADELHEID,アデルハイト
メス,ADELIE,アデリ－
メス,ADEWINA,アドウ゛ィナ
メス,ADONIA,アドニア
メス,ADRIENNE,アドリエンヌ
メス,AGAR,アガ－
メス,AGATE,アゲイト
メス,AGATHA,アガサ
メス,AGILA,アギラ
メス,AGILE,アジ－ル
メス,AGLAE,アグラエ
メス,AGNES,アグネス
メス,AHNFRAN,アンフラン
メス,AIDA,アイ－ダ
メス,AIGRETTE,エイグレット
メス,AILEEN,アイリ－ン
メス,ALAMI,アラミ－
メス,ALBILA,アルビラ
メス,ALBIN,アルビン
メス,ALBRADA,アルブラダ
メス,ALCUIN,アルクィン
メス,ALCYONE,アルシオン
メス,ALDER,アルダ－
メス,ALDISA,アルディサ
メス,ALEXANDRA,アレキサンドラ
メス,ALFHEID,アルフハイト
メス,ALGUND,アルグント
メス,ALICE,アリス
メス,ALICIA,アリシア
メス,ALIMU,アリ－ム
メス,ALINDA,アリンダ
メス,ALLIE,アリ－
メス,ALLORI,アロ－リ
メス,ALMA,アルマ
メス,ALMAS,アルマス
メス,ALMOND,ア－モンド
メス,ALOE,アロエ
メス,ALPACA,アルパカ
メス,ALPS,アルプス
メス,ALRUM,アルラム
メス,ALTA,アルタ
メス,ALUMNA,アラムナ
メス,ALWINA,アルビ－ナ
メス,ALWISA,アルウ゛ィサ
メス,AMAH,アマ－
メス,AMALA,アマラ
メス,AMALTHEE,アマルテ
メス,AMANDA,アマンダ
メス,AMARYLLIS,アマリリス
メス,AMAZON,アマゾン
メス,AMBROSIA,アンブロ－ジア
メス,AMETHYST,アメジスト
メス,AMIABLE,アミアブル
メス,AMIEL,アミエル
メス,AMMY,アミ－
メス,AMORAL,アモ－ラル
メス,AMPLE,アンプル
メス,AMUSE,アミュ－ズ
メス,ANAM,アナム
メス,ANANAS,アナナス
メス,ANASTASIA,アナスタシア
メス,ANDLY,アンドリ－
メス,ANDROMACHE,アンドロマクセ
メス,ANDROMEDA,アンドロメダ
メス,ANEMONE,アネモネ
メス,ANESSA,アネッサ
メス,ANETTE,アネット
メス,ANGEL,エンジェル
メス,ANGELA,アンジェラ
メス,ANGELICA,アンジェリカ
メス,ANGELICO,アンジェリコ
メス,ANICA,アニカ
メス,ANICE,アニス
メス,ANITA,アニタ
メス,ANJOU,アンジュ－
メス,ANNA,アンナ
メス,ANNIE,アニ－
メス,ANNIVERSARY,アニバ－サリ－
メス,ANON,アノン
メス,ANSA,アンサ
メス,ANSILA,アンジラ
メス,ANTHEM,アンセム
メス,ANTICLEE,アンティクル
